#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x


##### decisions localisation
province_animal_conversion;Establish an animal colony;Implanter une colonie animalière;;;;;;;;;;;;;;x
province_animal_conversion_desc;Establish your animal culture in the county to allow the use of the animal upgraded buildings;établir la culture animalière dans le comté pour autoriser l'utilisation des bâtiments animaliers améliorés;;;;;;;;;;;;;x
hide_human_buildings;Hide human buildings;Cacher les bâtiments humains;;;;;;;;;;;;;x
show_human_building;Show human buildings;Montrer les bâtiments humains;;;;;;;;;;;;;x
hide_human_buildings_desc; ;;;;;;;;;;;;;;x
show_human_building_desc; ;;;;;;;;;;;;;;x
cursed_text_cat;[ROOT.GetTitledName] will be cursed;[ROOT.GetTitledName] va être maudit;;;;;;;;;;;;;x
cat_building_curse;Curse this person;Maudire cette personne;;;;;;;;;;;;;x
cat_building_curse_desc;Curse this person. It takes up to a month to take effect.;Maudire cette personne. Cela peut prendre jusqu'à un mois pour prendre effet.;;;;;;;;;;;;;x
cat_harrassment_start;Start the harrassment process;Commencer le processus de harcèlement;;;;;;;;;;;;;;x
cat_favor_harass;Start harrassing;Commencer à harceler;;;;;;;;;;;;;x
cat_favor_harass_desc;Start harrassing a person, it takes up to a month to take effect and stress him or her out;Commence à harceler une personne. Cela peut prendre jusqu'à un mois pour prendre effet et la stresser.;;;;;;;;;;;;;x



#####Bear update localisation
adopt_bear_religion;Adopt bears' religion;Adopter la religion des ours;;;;;;;;;;;;;x
adopt_bear_religion_desc;if you are a bear, you can freely choose to convert yourself to the associated religion;En tant qu'ours, tu peux librement choisir de te convertir à la religion culturel;;;;;;;;;;;;;x
set_white_bear_bonus;Reinforce white bear's clan;Renforcer le clan des ours blancs;;;;;;;;;;;;;x
set_white_bear_bonus_desc;With the conquest of the clan's origin, You can strenghten the entire white bear clan!;Avec la conquête de la terre ancestrale des ours blancs, vous pouvez renforcer l'intégralité du clan!;;;;;;;;;;;;;x
clr_white_bear_bonus;Weaken white bear's clan;Affaiblir le clan des ours blancs;;;;;;;;;;;;;x
clr_white_bear_bonus_desc;White bear are too strong, they need to be stopped. As the owner of their homeland county, you can weaken them a little by preventing new white bear to get their bonuses!;Les ours blancs sont trop forts, ils ont besoin d'être arrêter. Avec la prise de leur comté originaire, il est possible d'empêcher les nouveaux ours blancs d'obtenir leur bonus de clan!;;;;;;;;;;;;;x
set_brown_bear_bonus;Reinforce brown bear's clan;Renforcer le clan des ours bruns;;;;;;;;;;;;;x
set_brown_bear_bonus_desc;With the conquest of the clan's origin, You can strenghten the entire brown bear clan!;Avec la conquête de la terre ancestrale des ours bruns, vous pouvez renforcer l'intégralité du clan!;;;;;;;;;;;;;x
clr_brown_bear_bonus;Weaken brown bear's clan;Affaiblir le clan des ours bruns;;;;;;;;;;;;;x
clr_brown_bear_bonus_desc;Brown bear are too strong, they need to be stopped. As the owner of their homeland county, you can weaken them a little by preventing new brown bear to get their bonuses!;Les ours bruns sont trop forts, ils ont besoin d'être arrêter. Avec la prise de leur comté originaire, il est possible d'empêcher les nouveaux ours bruns d'obtenir leur bonus de clan!;;;;;;;;;;;;;x
set_black_bear_bonus;Reinforce black bear's clan;Renforcer le clan des ours noirs;;;;;;;;;;;;;x
set_black_bear_bonus_desc;With the conquest of the clan's origin, You can strenghten the entire black bear clan!;Avec la conquête de la terre ancestrale des ours noirs, vous pouvez renforcer l'intégralité du clan!;;;;;;;;;;;;;x
clr_black_bear_bonus;Weaken black bear's clan;Affaiblir le clan des ours noirs;;;;;;;;;;;;;x
clr_black_bear_bonus_desc;Black bear are too strong, they need to be stopped. As the owner of their homeland county, you can weaken them a little by preventing new black bear to get their bonuses!;Les ours noirs sont trop forts, ils ont besoin d'être arrêter. Avec la prise de leur comté originaire, il est possible d'empêcher les nouveaux ours noirs d'obtenir leur bonus de clan!;;;;;;;;;;;;;x
set_animal_religious_autority;Increase religious influence;Augmenter l'influence de la religion;;;;;;;;;;;;;x
set_animal_religious_autority_desc;By owning the religious group central territory, you can increase the moral autority by 20%;En possédant le territoire sacré du groupe religieux, l'influence morale est augmenté de 20%;;;;;;;;;;;;;x
study_local_particularity;Study locals strange haze;Etudier les étranges fumées locales;;;;;;;;;;;;x
study_local_particularity_desc;Study some strange haze that sometimes appear on some provinces. As those haze dosn't seem to belong to usual knowledge, a mystic's knowledge is needed, and since those haze can be dangerous, your physician is a good precaution.;Etudier d'étrange apparition de fumées dans certaines provinces. Comme ces fumées ne peuvent pas s'expliquer par des connaissances traditionnelles, avoir un mystic est nécessaire. De plus, comme ces fumées peuvent devenir dangereuses, emmener un physicien de la cour s'impose.;;;;;;;;;;;;;x
human_bear_conversion_power;Change into a bear;Transformer en ours;;;;;;;;;;;;x
human_bear_conversion_power_desc;Allow you to propage an illness that transform people into bear. That illness can also spread from itself;Provoque une maladie qui transforme les personnes en ours. Cette maladie peut aussi se propager toute seule.;;;;;;;;;;;;x
province_bear_conversion;Convert province culture;Convertir la culture de la province;;;;;;;;;;;;x
province_bear_conversion_desc;Generate the illness that convert the culture of a province into a bear one. What bear clan can be random.;Permet de répandre la maladie qui transforme en ours au sein de la province. Le résultat peut être aléatoire.;;;;;;;;;;;;x
implant_bear_clan;imlplant your bear clan;Implante ton clan d'ours;;;;;;;;;;;;x
implant_bear_clan_desc;By using your religion influence, you can implant your clan in the province.;En utilisant l'influence de la religion des ours, il est possible d'implanter une colonie d'ours;;;;;;;;;;;;x
#chase_bear_on_province;exterminate bears;exterminer les ours;;;;;;;;;;;;x
#chase_bear_on_province_desc;By using your personnal aide, you can start an hunt on bear inhabitant. At the condition that you have enough man power;Grâce aux membre de votre cour, il est possible de chasser par la force les ours du domaine. Cependant, cela demande suffisemment de chasseur potentiel;;;;;;;;;;;;x
build_theodosian_wall;Construct big fortification wall;Construire de grands murs de fortifications;;;;;;;;;;;;x
build_theodosian_wall_desc;Allow by destroying animals buildings, to construct a great monument on the county's capital. But war pause the construction;Permet la construction d'un grand mur défensif, semblable à celui des murs théodosiens. Cependant, les guerres interrompent la construction du mur.;;;;;;;;;;;;x
build_Ydragsil_tree;Make a big tree grow;faire pousser un arbre nouricier;;;;;;;;;;;;x
build_Ydragsil_tree_desc;Allow yourself, by using animals building as compost to make growing a big nurturing tree. But war stops the growing process;Permet de faire pousser, en utilisant les ressources des bâtiments animaux, d'avoir un arbre nourricier géant. Cependant les guerres empêche la bonne croissance de l'arbre.;;;;;;;;;;;;x
build_golden_wall;Construct a big golden fortification;Construire une grosse fortification d'or;;;;;;;;;;;;x
build_golden_wall_desc;By destroying animal's building, it is possible to construct a golden fortification that increase your revenue. But war pause the construction process;Permet de construire des fortifications en or. Cela augmenterai les revenus fiscaux de la province. Cependant, les guerres mettent en pause la construction.;;;;;;;;;;;;x
build_animal_library;Construct a major library;Construire une bibliothèque majeur;;;;;;;;;;;;x
build_animal_library_desc;By using ingenious knowledge, it is possible to construct a library that describe unethical knoledge. Wars interrupt the construction process;En utilisant des connaissances contenus dans les constructions animalières, il est possible de construire un grande bibliothèque peut orthodoxe. Les guerres interrompent le processus de construction.;;;;;;;;;;;;x
convert_to_thecracy;Form a religious union;Former une union religieuse;;;;;;;;;;;;x
convert_to_thecracy_desc;As animal, our survival isn't assured as human keepbeing aggressive;En tant qu'animal, la survie de la religion doit être le plus important à cause des humains qui nous voient avec aggressivité;;;;;;;;;;;;x
organize_bear_succession_tournament;Oraganize a battle for succession;Organiser un tournois de succession;;;;;;;;;;;;x
organize_bear_succession_tournament_desc;Bear believe that only the strongest have to stay on top. For that purpose, a giant battle are organized to choose the strongest amongst all adult child to be the only heir;En tant qu'ours, le plus fort soit le seul à pouvoir hériter. Pour trouver le plus fort des enfants, ce tournoi est la meilleur chose à faire!;;;;;;;;;;;;x
Become_bear_tributary;Declare your independence;Déclarer l'indépendance;;;;;;;;;;;;x
Become_bear_tributary_desc;The bear believe that only the strongest can rule. So if they have no relation with their liege, it become accepted to declare independance for showing the strongest bear;Les ours croient en la loi du plus fort. Pour cela, devenir indépendant pour montrer à son suzerain sa force est quelque chose de normal.;;;;;;;;;;;;x
Become_bear_vassal;Becomming your suzerain's vassal;Devenir le vassal du suzerain;;;;;;;;;;;;x
