#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x



##### beta version events localisation
##### should be progressivly and totally deleted with updates
OPT_OKAY;OK;;;;;;;;;;;;;x
OPT_GOOD;Good!;Bien!;;;;;;;;;;;;x
EVTDESCanimal_plus_mod402;It is time to upgrade the loyalty of ...;C'est le moment d'augmenter la loyauté de...;;;;;;;;;;;;x
EVTOPTAanimal_plus_mod402;... [dog_gift_one.GetTitledFirstName] !;... [dog_gift_one.GetTitledFirstName] !;;;;;;;;;;;;x
EVTOPTBanimal_plus_mod402;... [dog_gift_two.GetTitledFirstName] !;... [dog_gift_two.GetTitledFirstName] !;;;;;;;;;;;;x
EVTOPTCanimal_plus_mod402;... [dog_gift_three.GetTitledFirstName] !;... [dog_gift_three.GetTitledFirstName] !;;;;;;;;;;;;x
EVTDESCanimal_plus_mod801;The colonization in [This.GetName] is over !;La colonisation en [This.GetName] est terminée !;;;;;;;;;;;;x



####Bear update localisation
#event 001 to 060
HIBERNATION_EVENT_001_DESC;It is the time when you need to hibernate to recover your strenghts;C'est le moment de l'année où l'hibernation devient impérative pour récupérer;;;;;;;;;;;;;x
HIBERNATION_EVENT_001_OPT_1;Hope it dosn't go wrong;J'espère que cela ne va pas mal tourner;;;;;;;;;;;;;x
HIBERNATION_EVENT_002_DESC;Your hibernation takes an end today;Votre hibernation prend fin aujourd'hui;;;;;;;;;;;;;x
MULTI_CHILD_EVENT_007_DESC_1;Your wife gave birth to an additionnal child;Votre femme a accouché d'un enfant supplémentaire;;;;;;;;;;;;x
MULTI_CHILD_EVENT_007_DESC_2;Your wife gave birth to 2 additionnals childs;Votre femme a accouché de 2 enfants supplémentaires;;;;;;;;;;;;x
MULTI_CHILD_EVENT_007_DESC_3;Your wife gave birth to 3 additionnals childs;Votre femme a accouché de 3 enfants supplémentaires;;;;;;;;;;;;x
MULTI_CHILD_EVENT_007_DESC_4;Your wife gave birth to 4 additionnals childs;Votre femme a accouché de 4 enfants supplémentaires;;;;;;;;;;;;x
NOTIF_DEC_BEAR_CONV_EVENT_008_DESC;Some strange haze incident are starting to be frequent. Would you like to start an investigation with your physician?;D'étranges cas d'apparition de brouillard deviennent fréquentes. Commencer une enquête avec votre physicien?;;;;;;;;;;;;x
START_RESEARSH_EVENT_008_OPT_1;Yes, we will solve the problem in [bear_haze_study_target.GetName];Oui, nous allons régler le problème de [bear_haze_study_target.GetName];;;;;;;;;;;;x
STOP_RESEARCH_EVENT_008_OPT_2;No, it is finally too dangerous;Non, c'est trop dangereux;;;;;;;;;;;;x
RESEASH_GOES_WELL_EVENT_009_DESC;You did make a major breakthrough in your research, it is a question of time before you clear those strange haze!;Une grosse découverte a été faite dans la recherche contre le brouillard! Ce n'est plus qu'une question de temps avant de pouvoir résoudre le problème!;;;;;;;;;;;;x
STAY_PRUDENT_EVENT_009_OPT_1;We should stay prudent;Nous devrions rester prudent;;;;;;;;;;;;x
ACCELERATE_ME_MYSTIC_EVENT_009_OPT_2;Their is no place for prudence;On n'a pas de temps à perdre;;;;;;;;;;;;x
ACCELERATE_PHYSICIAN_MYSTIC_EVENT_009_OPT_3;My physician should work harder;Mon physicien devrait redoubler d'efforts;;;;;;;;;;;;x
RESEARSH_END_SOLVED_EVENT_010_DESC;We found the source of those maze and destroyed it, from now on, it will be no problem in [bear_haze_study_target.GetName]!;Nous avons enfin trouvé la source du mystérieux brouillard. Nous venons de l'arrêter, ce qui veut dire que l'on n'aura plus de problèmes au niveau du brouillard en [bear_haze_study_target.GetName]!;;;;;;;;;;;;x
RESEARSH_END_SOLVED_EVENT_010_OPT;Finally!;Enfin!;;;;;;;;;;;;x
BREATH_MAZE_EVENT_011_DESC;You were isolated by accident. Unluckily, the haze suddenly appear on you...;Isolé du physicien, l'étrange brouillard apparaît d'un coup...;;;;;;;;;;;;x
BREATH_MAZE_EVENT_011_OPT;Hope it isn't poisonous;J'espère que ce brouillard n'est pas empoisonné;;;;;;;;;;;;x
A_BEAST_APPEAR_EVENT_012_DESC;You just see a strange beast, it dosn't seems it noticed us, what should we do?;Nous venons de croiser une bête, elle ne semble pas nous avoir repérée. Que devrions-nous faire?;;;;;;;;;;;;x
RUN_AWAY_EVENT_012_OPT_1;Running away while it does not notice us;Partir rapidement tant qu'elle ne nous a pas repérée;;;;;;;;;;;;x
FIGHT_BEAST_EVENT_012_OPT_2;We should fight that beast, running away will not solve anything;Nous devrions battre cette bête, fuir ne va pas nous sauver!;;;;;;;;;;;;x
RUNNING_AXAY_FAILS_EVENT_013_DESC_1;The beast has noticed us and did catch up, things couldn't go wrost!;La bête nous a repérés et rattrapés, ça ne pouvais pas être pire!;;;;;;;;;x
FIGHT_AGAINST_MONSTER_FAILS_EVENT_013_DESC_2;The fight against that beast... That bear has critically injured you...;Le combat face à la bête s'est mal passé... Cette bête... Cet ours m'a blessé fatalement...;;;;;;;;;;;;x
BEAST_FOUND_YOUR_HIDING_EVENT_013_DESC_3;The beast found you, staying hidden was a very bad idea. Wrost it violently hurted your group;Rester cacher n'étais pas une bonne idée, la bête nous a trouvé et viollamment attaquée...;;;;;;;;;;;;x
WE_SHOULD_PREPARE_TO_THE_WORST_EVENT_013_OPT;We should stop our investigation and recover;Nous devrions arrêter notre enquête et retourner hors de dangers...;;;;;;;;;;;;x
